EmployeeNumber,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany
42,27,No,Research & Development,2,Master,Life Sciences,Very High,Low,Divorced,2341,1,Better,1
43,26,Yes,Research & Development,25,Bachelor,Life Sciences,Low,High,Single,2293,1,Good,1
44,27,No,Sales,8,Bachelor,Life Sciences,Very High,High,Single,8726,1,Better,9
45,30,No,Research & Development,1,College,Medical,High,Very High,Single,4011,1,Better,12
46,41,Yes,Research & Development,12,Bachelor,Technical Degree,Medium,High,Married,19545,1,Better,22
47,34,No,Sales,23,Master,Marketing,Medium,High,Single,4568,0,Better,9
48,37,No,Research & Development,19,College,Life Sciences,Medium,Medium,Married,3022,4,Better,1
49,46,No,Sales,5,Master,Marketing,Low,Very High,Single,5772,4,Better,9
50,35,No,Research & Development,8,Below College,Life Sciences,Very High,Very High,Married,2269,1,Better,1
51,48,Yes,Research & Development,1,College,Life Sciences,Low,High,Single,5381,9,Better,1
52,28,Yes,Research & Development,5,Master,Technical Degree,High,High,Single,3441,1,Good,2
53,44,No,Sales,1,Doctor,Marketing,Medium,Low,Divorced,5454,5,Good,4
54,35,No,Research & Development,11,College,Medical,High,Low,Married,9884,2,Better,4
55,26,No,Sales,23,Bachelor,Marketing,High,Very High,Married,4157,7,Good,2
56,33,No,Research & Development,1,College,Life Sciences,Low,Very High,Single,13458,1,Better,15
57,35,No,Sales,18,Doctor,Life Sciences,Medium,Low,Married,9069,1,Good,9
58,35,No,Research & Development,23,Master,Medical,High,Low,Married,4014,3,Better,2
59,31,No,Research & Development,7,Master,Life Sciences,Very High,Very High,Divorced,5915,3,Good,7
60,37,No,Research & Development,1,Master,Life Sciences,Low,High,Divorced,5993,1,Best,7
61,32,No,Research & Development,1,Bachelor,Medical,Low,Very High,Married,6162,1,Better,9
62,38,No,Research & Development,29,Doctor,Life Sciences,Very High,Very High,Single,2406,1,Better,10
63,50,No,Research & Development,7,College,Medical,Medium,High,Divorced,18740,5,Good,27
64,59,No,Sales,25,Bachelor,Life Sciences,Low,Low,Single,7637,7,Good,21
65,36,No,Research & Development,8,Bachelor,Technical Degree,High,High,Divorced,10096,1,Better,17
66,55,No,Research & Development,8,Bachelor,Medical,Very High,High,Divorced,14756,2,Better,5
67,36,No,Research & Development,11,Bachelor,Life Sciences,Medium,Medium,Single,6499,1,Better,6
68,45,No,Research & Development,7,Bachelor,Life Sciences,Medium,Low,Divorced,9724,2,Better,1
69,35,No,Research & Development,1,Bachelor,Medical,Medium,Low,Married,2194,4,Good,3
70,36,Yes,Research & Development,9,Bachelor,Medical,Very High,High,Married,3388,0,Good,1
71,59,No,Sales,1,Below College,Life Sciences,Low,High,Single,5473,7,Good,4
72,29,No,Research & Development,2,Bachelor,Life Sciences,High,Medium,Married,2703,0,Better,5
73,31,No,Research & Development,1,Master,Medical,High,Medium,Single,2501,1,Better,1
74,32,No,Research & Development,1,Bachelor,Life Sciences,Medium,Medium,Married,6220,1,Better,10
75,36,No,Research & Development,6,Bachelor,Life Sciences,Medium,Very High,Married,3038,3,Better,1
76,31,No,Research & Development,8,Master,Life Sciences,High,Very High,Single,4424,1,Better,11
77,35,No,Sales,1,Master,Marketing,High,Low,Single,4312,0,Better,15
78,45,No,Research & Development,6,Master,Other,Very High,Low,Married,13245,4,Best,0
79,37,No,Research & Development,7,Master,Medical,Low,High,Single,13664,4,Best,5
80,46,No,Human Resources,5,College,Medical,Medium,Medium,Divorced,5021,8,Better,4
81,30,No,Research & Development,1,Below College,Life Sciences,Very High,Very High,Married,5126,1,Good,10
82,35,No,Research & Development,1,Bachelor,Medical,Medium,High,Single,2859,1,Better,6
83,55,No,Sales,1,College,Life Sciences,Low,Very High,Married,10239,3,Better,1
84,38,No,Research & Development,6,Bachelor,Medical,Medium,Very High,Divorced,5329,7,Better,13
85,34,No,Research & Development,1,College,Medical,Low,Medium,Married,4325,1,Better,5
86,56,No,Research & Development,7,Bachelor,Life Sciences,Very High,Very High,Single,7260,4,Good,6
87,23,No,Sales,2,Below College,Technical Degree,High,Low,Divorced,2322,3,Better,0
88,51,No,Research & Development,9,Master,Life Sciences,Very High,Very High,Married,2075,3,Better,4
89,30,No,Research & Development,2,Bachelor,Life Sciences,High,Very High,Married,4152,1,Better,11
90,46,Yes,Sales,9,College,Medical,High,Very High,Single,9619,1,Better,9
91,40,No,Research & Development,1,Master,Life Sciences,High,Medium,Married,13503,1,Good,22
92,51,No,Sales,21,Master,Marketing,High,Very High,Single,5441,0,Bad,10
93,30,No,Sales,4,College,Medical,High,Medium,Divorced,5209,1,Good,11
94,46,No,Research & Development,1,Bachelor,Medical,High,Low,Married,10673,2,Good,10
95,32,No,Sales,6,Master,Medical,Medium,High,Single,5010,1,Better,11
96,54,No,Research & Development,2,Master,Technical Degree,Low,High,Married,13549,9,Bad,4
97,24,No,Sales,3,College,Other,Low,High,Married,4999,0,Good,3
98,28,No,Sales,4,Bachelor,Medical,Medium,High,Married,4221,1,Best,5
99,58,No,Sales,10,Master,Medical,Very High,High,Single,13872,0,Good,37
100,44,No,Research & Development,23,Bachelor,Medical,Medium,Medium,Married,2042,4,Best,3
101,37,Yes,Human Resources,6,Master,Human Resources,High,Low,Divorced,2073,4,Better,3
102,32,No,Research & Development,1,Below College,Life Sciences,Very High,Low,Single,2956,1,Better,1
103,20,Yes,Research & Development,6,Bachelor,Life Sciences,Very High,Very High,Single,2926,1,Better,1
104,34,No,Research & Development,6,Master,Other,Low,High,Single,4809,1,Better,16
105,37,No,Research & Development,2,College,Life Sciences,High,Very High,Divorced,5163,5,Best,1
106,59,No,Human Resources,2,Master,Human Resources,High,Very High,Married,18844,9,Better,3
107,50,No,Research & Development,1,Bachelor,Life Sciences,Low,Medium,Married,18172,3,Good,8
108,25,Yes,Sales,5,Bachelor,Marketing,High,High,Single,5744,1,Better,6
109,25,No,Research & Development,7,Below College,Medical,Very High,Very High,Married,2889,1,Better,2
110,22,No,Research & Development,15,Bachelor,Medical,Medium,Very High,Single,2871,1,Better,0
111,51,No,Research & Development,1,Master,Medical,Low,Low,Single,7484,3,Good,13
112,34,Yes,Research & Development,7,Bachelor,Life Sciences,Low,High,Single,6074,1,Better,9
113,54,No,Human Resources,26,Bachelor,Human Resources,Very High,Very High,Single,17328,2,Better,5
114,24,No,Research & Development,18,Below College,Life Sciences,Medium,High,Married,2774,0,Better,5
115,34,No,Research & Development,6,Master,Life Sciences,High,Medium,Divorced,4505,6,Better,1
116,37,No,Sales,3,Bachelor,Life Sciences,High,Very High,Single,7428,2,Better,5
117,34,No,Research & Development,5,Bachelor,Medical,High,Low,Single,11631,2,Better,11
118,36,No,Sales,11,College,Technical Degree,Medium,Very High,Married,9738,0,Better,9
119,36,No,Research & Development,3,College,Life Sciences,Low,Very High,Divorced,2835,5,Better,1
120,43,No,Sales,26,College,Life Sciences,High,Very High,Married,16959,1,Best,25
121,30,No,Research & Development,23,Bachelor,Life Sciences,Low,High,Divorced,2613,1,Good,10
122,33,No,Sales,22,College,Marketing,High,Medium,Married,6146,0,Best,7
123,56,Yes,Research & Development,14,Master,Life Sciences,Medium,Medium,Married,4963,9,Better,5
124,51,No,Research & Development,6,Bachelor,Life Sciences,Low,High,Single,19537,7,Better,20
125,31,Yes,Sales,6,Master,Life Sciences,Medium,High,Married,6172,4,Good,7
126,26,No,Research & Development,6,Bachelor,Other,High,Medium,Married,2368,1,Good,5
127,58,Yes,Research & Development,23,Master,Medical,Very High,Very High,Married,10312,1,Good,40
128,19,Yes,Sales,22,Below College,Marketing,Very High,High,Single,1675,1,Good,0
129,22,No,Research & Development,2,Below College,Technical Degree,High,Very High,Married,2523,0,Better,2
130,49,No,Research & Development,20,Master,Medical,High,Low,Married,6567,1,Good,15
131,43,No,Research & Development,28,Bachelor,Medical,Medium,High,Single,4739,4,Better,3
132,50,No,Sales,12,Bachelor,Marketing,High,Very High,Single,9208,4,Better,2
133,31,Yes,Sales,20,Bachelor,Life Sciences,Medium,High,Married,4559,3,Better,2
134,41,No,Sales,9,Below College,Life Sciences,High,High,Divorced,8189,3,Better,9
135,26,No,Human Resources,25,Below College,Life Sciences,High,High,Married,2942,1,Better,8
136,36,No,Research & Development,6,College,Medical,Medium,Medium,Divorced,4941,6,Better,3
137,51,Yes,Research & Development,8,Master,Life Sciences,Low,Very High,Single,10650,2,Better,4
138,39,No,Sales,4,Master,Life Sciences,Very High,High,Married,5902,4,Best,15
139,25,No,Sales,28,Bachelor,Life Sciences,Low,High,Married,8639,2,Better,2
140,30,No,Human Resources,9,Bachelor,Human Resources,High,Very High,Married,6347,0,Bad,11
141,32,Yes,Research & Development,9,Bachelor,Medical,Low,Low,Single,4200,7,Best,5
142,45,No,Research & Development,29,Bachelor,Medical,High,Very High,Single,3452,5,Good,6
143,38,No,Research & Development,3,Doctor,Technical Degree,Very High,High,Single,4317,3,Better,3
144,30,No,Research & Development,18,Bachelor,Life Sciences,Low,High,Single,2632,1,Good,5
145,32,No,Sales,9,College,Medical,Very High,Very High,Divorced,4668,0,Best,8
146,30,No,Research & Development,5,Bachelor,Technical Degree,Very High,Low,Divorced,3204,5,Better,3
147,30,No,Research & Development,2,Below College,Medical,Medium,Very High,Single,2720,0,Better,5
148,41,No,Research & Development,10,Bachelor,Life Sciences,Very High,Low,Divorced,17181,4,Good,7
149,41,No,Research & Development,9,Master,Life Sciences,High,Low,Married,2238,2,Better,5
150,19,No,Research & Development,3,Below College,Medical,Medium,Medium,Single,1483,1,Better,1
151,40,No,Research & Development,26,Bachelor,Medical,Medium,Medium,Divorced,5605,1,Better,20
152,35,No,Sales,1,Doctor,Marketing,High,Medium,Married,7295,1,Better,10
153,53,No,Sales,6,College,Marketing,Medium,High,Married,2306,2,Bad,7
154,45,No,Research & Development,9,Bachelor,Life Sciences,Medium,Medium,Divorced,2348,8,Bad,17
155,32,No,Sales,8,Bachelor,Marketing,Medium,Very High,Single,8998,1,Better,9
156,29,No,Research & Development,1,Below College,Technical Degree,Very High,High,Married,4319,1,Better,10
157,51,No,Research & Development,7,Master,Medical,Medium,High,Married,6132,2,Better,1
158,58,No,Research & Development,9,Bachelor,Medical,Medium,Medium,Married,3346,4,Good,1
159,40,No,Sales,4,Master,Marketing,High,Very High,Married,10855,7,Good,12
160,34,No,Sales,2,Master,Marketing,High,High,Married,2231,6,Better,4
161,22,No,Research & Development,19,Below College,Medical,High,Very High,Married,2323,1,Better,2
162,27,No,Research & Development,9,Bachelor,Medical,Very High,Medium,Divorced,2024,6,Bad,2
163,28,No,Research & Development,21,Bachelor,Medical,High,Very High,Married,2713,1,Bad,5
164,57,No,Research & Development,24,College,Life Sciences,High,Very High,Divorced,9439,3,Bad,5
165,27,No,Research & Development,3,Bachelor,Medical,High,High,Divorced,2566,1,Good,1
166,50,No,Research & Development,11,Bachelor,Life Sciences,High,Medium,Single,19926,3,Better,5
167,41,No,Research & Development,14,Bachelor,Life Sciences,Low,High,Divorced,2451,4,Better,9
168,30,No,Sales,5,Bachelor,Life Sciences,Medium,Very High,Married,9419,2,Better,10
169,38,No,Sales,1,Master,Life Sciences,Low,Very High,Single,8686,4,Best,8
170,32,No,Research & Development,6,Doctor,Life Sciences,High,High,Single,3038,3,Better,5
171,27,No,Research & Development,17,Bachelor,Technical Degree,High,Medium,Married,3058,0,Good,5
172,19,Yes,Sales,1,Below College,Technical Degree,High,Low,Single,2325,0,Best,0
173,36,No,Research & Development,3,College,Medical,Very High,Medium,Single,2088,4,Good,8
174,30,No,Research & Development,9,Bachelor,Medical,High,Low,Divorced,3072,1,Better,12
175,45,No,Sales,4,College,Life Sciences,High,Low,Divorced,5006,4,Best,5
176,56,No,Research & Development,8,Bachelor,Life Sciences,High,Low,Divorced,4257,4,Better,2
177,33,No,Research & Development,2,Bachelor,Life Sciences,High,Very High,Single,2500,0,Best,3
178,19,Yes,Research & Development,2,Bachelor,Life Sciences,Medium,Very High,Single,1102,1,Good,1
179,46,No,Sales,1,College,Marketing,Medium,Low,Divorced,10453,1,Better,24
180,38,No,Research & Development,9,College,Life Sciences,High,Very High,Single,2288,1,Better,2
181,31,No,Research & Development,12,Below College,Medical,High,Very High,Married,3929,8,Better,4
182,34,No,Research & Development,27,College,Medical,Very High,Medium,Single,2311,2,Better,3
183,41,Yes,Sales,20,College,Marketing,Medium,Medium,Single,3140,1,Good,4
184,50,No,Research & Development,1,Bachelor,Medical,High,High,Married,3690,2,Good,3
185,53,No,Research & Development,13,College,Medical,Very High,Low,Divorced,4450,1,Better,4
186,33,No,Research & Development,14,Bachelor,Medical,Very High,Medium,Married,2756,1,Better,8
187,40,No,Research & Development,4,Below College,Medical,Very High,High,Married,19033,1,Better,20
188,55,No,Research & Development,14,Master,Medical,High,Medium,Single,18722,8,Better,24
189,34,No,Research & Development,2,Below College,Life Sciences,Very High,High,Married,9547,1,Good,10
190,51,No,Research & Development,3,Bachelor,Medical,Very High,Medium,Single,13734,3,Better,7
191,52,No,Research & Development,1,Master,Life Sciences,High,High,Married,19999,0,Better,33
192,27,No,Research & Development,9,Bachelor,Medical,Very High,Medium,Single,2279,1,Good,7
193,35,Yes,Research & Development,23,College,Life Sciences,Medium,High,Married,5916,3,Better,1
194,43,No,Research & Development,7,Bachelor,Medical,Very High,Very High,Divorced,2089,4,Best,5
195,45,No,Research & Development,2,College,Medical,Low,Very High,Married,16792,9,Better,20
196,37,No,Research & Development,21,Bachelor,Life Sciences,Medium,Low,Married,3564,1,Good,8
197,35,No,Research & Development,2,Bachelor,Medical,Medium,Medium,Single,4425,5,Better,6
198,42,No,Research & Development,21,College,Medical,High,High,Divorced,5265,2,Better,5
199,38,No,Research & Development,2,Master,Life Sciences,Very High,High,Married,6553,9,Better,1
200,38,No,Research & Development,29,Bachelor,Technical Degree,Very High,Very High,Married,6261,3,Bad,7
201,27,No,Research & Development,1,Below College,Technical Degree,High,Low,Married,4298,5,Better,2
202,49,No,Research & Development,18,Master,Life Sciences,Very High,Very High,Divorced,6804,1,Better,7
203,34,No,Research & Development,10,Master,Medical,Very High,High,Divorced,3815,1,Best,5
204,40,No,Research & Development,19,College,Medical,High,Very High,Married,2741,8,Best,7
205,38,Yes,Research & Development,29,Below College,Medical,Medium,Low,Married,6673,7,Better,1
206,29,Yes,Sales,27,Bachelor,Marketing,Medium,Very High,Married,7639,1,Good,10
207,22,No,Research & Development,5,Bachelor,Life Sciences,Very High,Medium,Divorced,2328,1,Good,4
208,36,No,Research & Development,18,Below College,Medical,Medium,Very High,Single,2153,1,Better,8
209,40,No,Research & Development,9,Doctor,Life Sciences,Very High,Very High,Married,4876,9,Bad,3
210,46,No,Research & Development,1,Master,Medical,Very High,Low,Divorced,9396,7,Better,4
211,32,Yes,Sales,4,Master,Medical,Very High,Very High,Married,10400,1,Good,14
212,30,No,Research & Development,1,Below College,Life Sciences,High,High,Single,8474,1,Better,11
213,27,No,Sales,20,Bachelor,Life Sciences,Very High,High,Single,9981,1,Better,7
214,51,No,Research & Development,8,Master,Life Sciences,Medium,Medium,Married,12490,5,Bad,10
215,30,Yes,Research & Development,3,Bachelor,Technical Degree,Very High,Low,Single,2657,5,Better,5
216,41,No,Sales,6,Bachelor,Life Sciences,Very High,Very High,Single,13591,3,Better,1
217,30,Yes,Sales,26,Master,Marketing,High,Low,Single,6696,5,Good,6
218,29,Yes,Research & Development,1,Bachelor,Technical Degree,High,High,Single,2058,0,Good,6
219,45,No,Sales,6,Bachelor,Medical,Very High,Very High,Single,8865,6,Better,19
220,54,No,Sales,3,Bachelor,Marketing,Very High,Low,Married,5940,2,Better,6
221,36,No,Research & Development,5,College,Life Sciences,Very High,Medium,Single,5914,8,Best,13
222,33,No,Research & Development,4,Master,Medical,High,Medium,Married,2622,6,Better,3
223,37,No,Research & Development,11,Bachelor,Other,Medium,Very High,Divorced,12185,1,Better,10
224,38,No,Sales,3,Bachelor,Life Sciences,Low,High,Divorced,10609,0,Good,16
225,31,No,Research & Development,1,Master,Medical,High,High,Married,4345,0,Better,5
226,59,No,Research & Development,3,Bachelor,Life Sciences,High,Very High,Married,2177,3,Better,1
227,37,No,Sales,4,Master,Marketing,Low,Very High,Divorced,2793,4,Better,9
228,29,No,Sales,1,Below College,Medical,Medium,Very High,Married,7918,1,Better,11
229,35,No,Sales,1,Bachelor,Marketing,High,High,Single,8789,1,Best,10
230,29,Yes,Research & Development,18,Below College,Medical,High,Very High,Single,2389,1,Good,4
231,52,No,Research & Development,2,Bachelor,Life Sciences,High,Very High,Single,3212,7,Good,2
232,42,No,Research & Development,4,College,Technical Degree,High,Very High,Married,19232,1,Better,22
233,59,No,Human Resources,6,College,Medical,Medium,High,Married,2267,8,Good,2
234,50,No,Sales,1,Master,Medical,Very High,Very High,Divorced,19517,3,Good,7
235,33,Yes,Research & Development,14,Bachelor,Medical,High,Very High,Married,2436,5,Bad,5
236,43,No,Sales,16,Bachelor,Marketing,Very High,Very High,Married,16064,5,Better,17
237,33,Yes,Research & Development,2,College,Life Sciences,Low,Low,Married,2707,7,Best,9
238,52,No,Sales,2,Master,Life Sciences,Low,High,Single,19068,1,Best,33
239,32,No,Sales,4,College,Life Sciences,High,Medium,Married,3931,2,Better,4
240,32,Yes,Research & Development,1,Bachelor,Life Sciences,Very High,High,Single,3730,0,Bad,3
241,39,No,Research & Development,1,Master,Medical,High,High,Divorced,2232,7,Better,3
242,32,No,Sales,26,Master,Marketing,High,Very High,Married,4465,0,Better,3
243,41,No,Research & Development,19,College,Life Sciences,High,Low,Divorced,3072,2,Good,1
244,40,No,Research & Development,24,College,Technical Degree,Low,Very High,Divorced,3319,1,Better,9
245,45,No,Research & Development,1,Bachelor,Other,High,Very High,Married,19202,0,Better,24
246,31,No,Research & Development,3,Master,Medical,Medium,High,Divorced,13675,9,Better,2
247,33,No,Research & Development,5,Master,Life Sciences,High,Very High,Married,2911,1,Good,2
248,34,No,Research & Development,2,Master,Life Sciences,Very High,Low,Married,5957,6,Better,11
249,37,No,Research & Development,1,College,Medical,High,Low,Married,3920,2,Good,3
250,45,No,Research & Development,7,Master,Life Sciences,Low,High,Married,6434,4,Better,3
251,37,Yes,Research & Development,10,Bachelor,Medical,Low,High,Divorced,10048,6,Better,1
252,39,No,Research & Development,2,Master,Technical Degree,High,High,Single,10938,0,Better,19
253,29,No,Research & Development,15,Bachelor,Life Sciences,High,Very High,Single,2340,1,Better,6
254,42,No,Research & Development,17,College,Life Sciences,Very High,Low,Single,6545,3,Better,3
255,29,No,Sales,20,College,Marketing,Very High,Very High,Divorced,6931,2,Better,3
256,25,No,Research & Development,1,Bachelor,Life Sciences,Low,High,Married,4898,0,Better,4
257,42,No,Research & Development,2,Bachelor,Medical,Very High,Low,Divorced,2593,0,Better,9
258,40,No,Research & Development,2,College,Medical,Low,High,Divorced,19436,0,Better,21
259,51,No,Research & Development,1,Bachelor,Life Sciences,High,Very High,Married,2723,1,Good,1
260,31,Yes,Research & Development,29,College,Medical,High,Medium,Single,3479,0,Best,5
261,32,No,Research & Development,7,Bachelor,Life Sciences,Medium,Medium,Married,2794,1,Bad,5
262,38,No,Sales,2,College,Life Sciences,Very High,Very High,Married,5249,3,Better,8
263,32,No,Research & Development,2,Below College,Technical Degree,Very High,Low,Single,2176,4,Better,6
264,46,No,Sales,2,Bachelor,Technical Degree,High,Medium,Married,16872,3,Good,7
265,28,Yes,Research & Development,2,Master,Life Sciences,Low,High,Single,3485,2,Bad,0
266,29,No,Sales,2,Bachelor,Medical,Low,Medium,Married,6644,2,Better,0
267,31,No,Research & Development,23,Bachelor,Medical,Medium,Very High,Married,5582,0,Better,9
268,25,No,Research & Development,5,College,Life Sciences,Medium,Low,Divorced,4000,1,Better,6
269,45,No,Research & Development,20,College,Medical,High,Very High,Married,13496,0,Better,20
270,36,No,Research & Development,6,Bachelor,Life Sciences,Very High,Very High,Married,3210,0,Better,15
271,55,No,Research & Development,1,Bachelor,Medical,Very High,Low,Single,19045,0,Better,36
272,47,Yes,Research & Development,29,Master,Life Sciences,Low,Medium,Married,11849,1,Good,10
273,28,No,Research & Development,9,Bachelor,Medical,Very High,Very High,Married,2070,1,Good,5
274,37,No,Sales,6,Master,Medical,High,Very High,Married,6502,4,Best,5
275,21,No,Research & Development,3,College,Medical,Very High,High,Single,3230,1,Best,3
276,37,No,Research & Development,1,Master,Medical,Low,Very High,Divorced,13603,2,Better,5
277,35,No,Research & Development,22,Bachelor,Life Sciences,Medium,Medium,Divorced,11996,7,Good,7
278,38,No,Sales,7,College,Medical,Low,Low,Divorced,5605,1,Better,8
279,26,No,Research & Development,1,Bachelor,Life Sciences,High,Medium,Divorced,6397,1,Bad,6
280,50,No,Research & Development,4,Below College,Life Sciences,Low,Medium,Divorced,19144,3,Good,10
281,53,No,Research & Development,3,Master,Medical,High,High,Married,17584,3,Good,5
282,42,No,Sales,1,Below College,Life Sciences,Medium,High,Married,4907,1,Better,20
283,29,No,Sales,2,College,Life Sciences,Medium,Very High,Single,4554,1,Good,10
284,55,No,Research & Development,20,College,Technical Degree,Medium,Very High,Married,5415,3,Better,10
285,26,No,Research & Development,11,College,Medical,Low,Low,Married,4741,1,Better,5
286,37,No,Research & Development,1,Bachelor,Life Sciences,Very High,Very High,Single,2115,1,Better,17
287,44,Yes,Research & Development,24,Bachelor,Life Sciences,Very High,High,Divorced,3161,3,Bad,1
288,38,No,Research & Development,23,Master,Life Sciences,Very High,Very High,Divorced,5745,9,Better,2
289,26,Yes,Research & Development,16,Master,Medical,Low,Medium,Divorced,2373,2,Better,3
290,28,No,Research & Development,8,College,Life Sciences,Very High,Very High,Single,3310,1,Better,5
291,49,No,Research & Development,10,Master,Life Sciences,High,Low,Single,18665,9,Better,3
292,36,No,Research & Development,3,Bachelor,Technical Degree,High,Medium,Single,4485,4,Better,8
293,31,No,Sales,5,Bachelor,Marketing,Very High,Medium,Divorced,2789,1,Good,2
294,26,Yes,Sales,4,Master,Marketing,Very High,Very High,Single,5828,1,Better,8
295,37,No,Research & Development,9,Bachelor,Medical,Medium,Very High,Married,2326,1,Good,4
296,42,No,Sales,26,Bachelor,Marketing,High,Medium,Married,13525,5,Best,20
297,18,Yes,Research & Development,3,Bachelor,Life Sciences,High,High,Single,1420,1,Better,0
298,35,No,Sales,16,Bachelor,Marketing,High,Medium,Married,8020,0,Good,11
299,36,No,Research & Development,18,Master,Life Sciences,High,Very High,Married,3688,4,Better,1
300,51,No,Research & Development,2,Bachelor,Medical,Very High,Medium,Divorced,5482,5,Better,4
301,41,No,Sales,2,Master,Life Sciences,Very High,Medium,Single,16015,1,Better,22
302,18,No,Sales,10,Bachelor,Medical,Very High,High,Single,1200,1,Better,0
303,28,No,Research & Development,16,College,Medical,Medium,Low,Single,5661,0,Better,8
304,31,No,Sales,7,Bachelor,Technical Degree,Medium,Very High,Married,6929,4,Good,8
305,39,No,Research & Development,1,Bachelor,Medical,High,Very High,Divorced,9613,0,Good,18
306,36,No,Research & Development,24,Master,Life Sciences,Medium,Medium,Married,5674,7,Better,9
307,32,No,Sales,7,Bachelor,Life Sciences,Very High,High,Married,5484,1,Good,13
308,38,No,Research & Development,25,College,Life Sciences,Low,Medium,Married,12061,3,Better,10
309,58,No,Research & Development,1,Master,Life Sciences,Very High,High,Divorced,5660,2,Better,5
310,31,No,Research & Development,5,Master,Technical Degree,High,Very High,Married,4821,0,Better,5
311,31,No,Human Resources,2,Bachelor,Human Resources,Low,Low,Married,6410,3,Better,2
312,45,No,Research & Development,7,Bachelor,Life Sciences,Low,Low,Divorced,5210,1,Better,24
313,31,No,Research & Development,2,Master,Life Sciences,High,Very High,Divorced,2695,0,Bad,2
314,33,No,Research & Development,5,Master,Life Sciences,Very High,Medium,Married,11878,6,Better,10
315,39,No,Research & Development,10,Below College,Medical,High,Low,Married,17068,1,Better,21
316,43,No,Research & Development,10,Master,Life Sciences,High,Very High,Single,2455,0,Better,8
317,49,No,Research & Development,1,College,Technical Degree,High,High,Single,13964,7,Better,7
